t,H_tank,H_pool,m_cw,T_cw_in,T_return,p_b,k_p,Paff_MW,lost_MW,pump,gen
816.0,0.0,2.64901,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
820.0,0.0,2.64794,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
824.0,0.0,2.64688,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
828.0,0.0,2.64581,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
832.0,0.0,2.64475,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
836.0,0.0,2.64368,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
840.0,0.0,2.64262,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
844.0,0.0,2.64155,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
848.0,0.0,2.64049,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
852.0,0.0,2.63942,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
856.0,0.0,2.63836,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
860.0,0.0,2.63729,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
864.0,0.0,2.63623,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
868.0,0.0,2.63516,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
872.0,0.0,2.6341,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
876.0,0.0,2.63304,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
880.0,0.0,2.63197,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
884.0,0.0,2.63091,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
888.0,0.0,2.62984,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
892.0,0.0,2.62878,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
896.0,0.0,2.62771,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
900.0,0.0,2.62665,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
904.0,0.0,2.62558,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
908.0,0.0,2.62452,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
912.0,0.0,2.62345,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
916.0,0.0,2.62239,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
920.0,0.0,2.62132,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
924.0,0.0,2.62026,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
928.0,0.0,2.61919,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
932.0,0.0,2.61813,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
936.0,0.0,2.61706,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
940.0,0.0,2.616,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
944.0,0.0,2.61493,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
948.0,0.0,2.61387,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
952.0,0.0,2.6128,20.8565,20.0,27.9936,5.0,1.0,607.0,0.0,1,1
